StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,id,interview,consent,confidence,motivation,interview_statements_1,interview_statements_2,interview_statements_3,interview_statements_4,knowledge_before,new_info,strategy,strategy_free,change_strategy,change_strategy_free,interview_adj_1,interview_adj_2,interview_adj_3,interview_adj_4,interview_adj_5,interview_adj_6,interviewer_adj_1,interviewer_adj_2,interviewer_adj_3,interviewer_adj_4,interviewer_adj_5,interviewer_adj_6,age,gender,lie_scale#1_1_1,lie_scale#1_2_1,lie_scale#1_3_1,lie_scale#1_4_1,lie_scale#1_5_1,lie_scale#2_1_1,lie_scale#2_2_1,lie_scale#2_3_1,lie_scale#2_4_1,lie_scale#2_5_1
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,ID,Intervju,"Det enda kravet för deltagare i denna studie är att du är vuxen (18 år eller äldre).


Syfte:

Syftet med denna forskningsstudien är att testa användningen av intervjutekniker vid förhör med brottsmisstänkta eller informanter.



Procedur:

Om du frivilligt väljer att delta i denna studie kommer vi be dig att göra följande:

Du kommer ombes att delta i flera olika aktiviteter på Göteborgs Universitet (t.ex. samla föremål). Efter dessa aktiviteter kommer du att bli intervjuad. Du kan bli ombedd att ljuga under intervjun. Efter intervjun kommer du ombes att svara på ett frågeformulär om dina upplevelser i studien.

Intervjun kommer att spelas in. Du kommer få valmöjligheten att se på inspelningen och du kommer att få valmöjligheten att ta bort inspelningen. Om du väljer att avbryta din medverkan i studien raderas inspelningen. All data kommer att förvaras på säkra interna servrar eller i ett stöld- och brandskyddat aktskåp på Göteborgs Universitet. Endast medlemmar i forskningsgruppen kommer att ha tillgång till inspelningen. Inspelningen kommer endast att användas för studiens syfte (t.ex. koda data).

Vi kan inte förklara varje detalj av studien i förväg, men om du är villig att delta under dessa villkor kommer vi förklara hela proceduren fullt ut efter ditt deltagande
.



Tidsåtgång:

Ditt deltagande i denna forskningsstudie förväntas ta 60 minuter vid första tillfället. Nästkommande två tillfällen förväntas ta 30 minuter.


Möjliga risker eller obekvämligheter:
Deltagare kan uppleva stress under intervjun.


Möjliga fördelar:
Du kommer inte dra direkt fördel av ditt deltagande i denna forskningsstudien.


Denna studien kan bidra med värdefull information om hur polisiär och militär personal kan intervjua misstänkta effektivt.


Kompensation för deltagandet:

Du kommer att få 150 SEK som kompensation för ditt deltagande vid varje tillfälle (totalt 450 SEK). Den totala summan betalas ut till dig efter ditt fullständiga deltagande. 


Sekretess:
Vi kommer att göra vårt bästa för att bibehålla konfidentialitet gällande all information som samlas in under denna forskningsstudien. Vi kommer endast att ge ut information med din tillåtelse eller om så krävs av lag.

Vi kommer skydda din identitet genom att säkerställa att ditt namn och annan identifierande information inte presenteras på något utav formulären i denna studien. Alla dokument och inspelningar kommer att förvaras på säkra interna servrar eller i ett stöld- och brandskyddat aktskåp på Göteborgs Universitet.

Forskningsteamet, auktoriserad universitetspersonal och myndigheter som överser denna typen av forskning kan ha tillgång till forskningsdata för att kontrollera forskningen. Forskningsdata som förses till auktoriserad, icke-universitets individer kommer inte att innehålla identifierbar information om dig. Publikationer och/eller presentationer med resultat från denna studien kommer inte att identifiera dig med namn.



Deltagarens rättigheter:
Ditt deltagande i denna forskningsstudie är helt och hållet frivilligt. Det kommer inte uppstå några negativa konsekvenser om du väljer att avstå.


Du kan välja att ta tillbaka ditt samtycke och avsluta ditt deltagande i forskningsstudien när som helst, utan några negativa konsekvenser. 


Kontakt:

Lina Nyström

PhD Candidate

lina.nystrom@psy.gu.se",Hur säker är du på din förmåga att kunna övertyga intervjuaren att du är oskyldig?,Hur motiverad är du till att övertyga intervjuaren att du är oskyldig?,"Nedan finns en lista med uttalande som kan beskriva samtalet.



Var snäll och skatta i vilken utsträckning som du håller med om varje uttalande genom att ringa in ett av alternativen. - Jag är säker på att intervjuaren trodde jag var oskyldig.","Nedan finns en lista med uttalande som kan beskriva samtalet.



Var snäll och skatta i vilken utsträckning som du håller med om varje uttalande genom att ringa in ett av alternativen. - Det var svårt att övertyga intervjuaren att jag var oskyldig.","Nedan finns en lista med uttalande som kan beskriva samtalet.



Var snäll och skatta i vilken utsträckning som du håller med om varje uttalande genom att ringa in ett av alternativen. - Intervjuaren var misstänksam mot mig.","Nedan finns en lista med uttalande som kan beskriva samtalet.



Var snäll och skatta i vilken utsträckning som du håller med om varje uttalande genom att ringa in ett av alternativen. - Utsagan jag gav till intervjuaren var övertygande.",Hur mycket tror du intervjuaren visste om dina aktiviteter innan intervjun?,Hur mycket ny information tror du att intervjuaren fick reda på om dina aktiviteter i intervjun?,Hade du en strategi för att övertyga intervjuaren att du var oskyldig?,"Om du hade det, var vänlig beskriv din strategi nedan.",Bytte du strategi under intervjuns gång?,"Om du gjorde det, var vänlig beskriv hur och varför du bytte strategi nedan.",Nedan finns en lista med möjliga beskrivningar av samtalet. Var snäll och skatta i vilken utsträckning som du håller med om varje beskrivning genom att ringa in ett av alternativen. - Hade flyt,Nedan finns en lista med möjliga beskrivningar av samtalet. Var snäll och skatta i vilken utsträckning som du håller med om varje beskrivning genom att ringa in ett av alternativen. - Konstigt,Nedan finns en lista med möjliga beskrivningar av samtalet. Var snäll och skatta i vilken utsträckning som du håller med om varje beskrivning genom att ringa in ett av alternativen. - Bekvämt,Nedan finns en lista med möjliga beskrivningar av samtalet. Var snäll och skatta i vilken utsträckning som du håller med om varje beskrivning genom att ringa in ett av alternativen. - Hårt,Nedan finns en lista med möjliga beskrivningar av samtalet. Var snäll och skatta i vilken utsträckning som du håller med om varje beskrivning genom att ringa in ett av alternativen. - Öppet,Nedan finns en lista med möjliga beskrivningar av samtalet. Var snäll och skatta i vilken utsträckning som du håller med om varje beskrivning genom att ringa in ett av alternativen. - Behagligt,Nedan finns en lista med möjliga beskrivningar av intervjuaren. Var snäll och skatta graden i vilken du håller med varje beskrivning genom att ringa en ett alternativ. - Vänlig,Nedan finns en lista med möjliga beskrivningar av intervjuaren. Var snäll och skatta graden i vilken du håller med varje beskrivning genom att ringa en ett alternativ. - Pressande,Nedan finns en lista med möjliga beskrivningar av intervjuaren. Var snäll och skatta graden i vilken du håller med varje beskrivning genom att ringa en ett alternativ. - Aggressiv,Nedan finns en lista med möjliga beskrivningar av intervjuaren. Var snäll och skatta graden i vilken du håller med varje beskrivning genom att ringa en ett alternativ. - Sympatisk,Nedan finns en lista med möjliga beskrivningar av intervjuaren. Var snäll och skatta graden i vilken du håller med varje beskrivning genom att ringa en ett alternativ. - Intresserad,Nedan finns en lista med möjliga beskrivningar av intervjuaren. Var snäll och skatta graden i vilken du håller med varje beskrivning genom att ringa en ett alternativ. - Brysk,Ålder,Kön,"Tänk på var du har varit och vad du har gjort under de senaste 24 timmarna, från den här tiden i... - Talade med dem skriftligen, per telefon eller via internet - Familjemedlemmar -","Tänk på var du har varit och vad du har gjort under de senaste 24 timmarna, från den här tiden i... - Talade med dem skriftligen, per telefon eller via internet - Vänner eller andra personer du känner socialt -","Tänk på var du har varit och vad du har gjort under de senaste 24 timmarna, från den här tiden i... - Talade med dem skriftligen, per telefon eller via internet - Personer som du arbetar med eller känner som affärskontakter -","Tänk på var du har varit och vad du har gjort under de senaste 24 timmarna, från den här tiden i... - Talade med dem skriftligen, per telefon eller via internet - Personer som du inte känner men som du träffar ibland (t.ex. en butiksanstä... - Personer som du inte känner men som du träffar ibland (t.ex. en butiksanställd). -","Tänk på var du har varit och vad du har gjort under de senaste 24 timmarna, från den här tiden i... - Talade med dem skriftligen, per telefon eller via internet - Helt främmande personer -","Tänk på var du har varit och vad du har gjort under de senaste 24 timmarna, från den här tiden i... - Talade med dem ansikte mot ansikte - Familjemedlemmar -","Tänk på var du har varit och vad du har gjort under de senaste 24 timmarna, från den här tiden i... - Talade med dem ansikte mot ansikte - Vänner eller andra personer du känner socialt -","Tänk på var du har varit och vad du har gjort under de senaste 24 timmarna, från den här tiden i... - Talade med dem ansikte mot ansikte - Personer som du arbetar med eller känner som affärskontakter -","Tänk på var du har varit och vad du har gjort under de senaste 24 timmarna, från den här tiden i... - Talade med dem ansikte mot ansikte - Personer som du inte känner men som du träffar ibland (t.ex. en butiksanstä... - Personer som du inte känner men som du träffar ibland (t.ex. en butiksanställd). -","Tänk på var du har varit och vad du har gjort under de senaste 24 timmarna, från den här tiden i... - Talade med dem ansikte mot ansikte - Helt främmande personer -"
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID52_TEXT""}","{""ImportId"":""QID53_TEXT""}","{""ImportId"":""QID8""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID39_1""}","{""ImportId"":""QID39_2""}","{""ImportId"":""QID39_3""}","{""ImportId"":""QID39_4""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43_TEXT""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45_TEXT""}","{""ImportId"":""QID46_1""}","{""ImportId"":""QID46_2""}","{""ImportId"":""QID46_3""}","{""ImportId"":""QID46_4""}","{""ImportId"":""QID46_5""}","{""ImportId"":""QID46_6""}","{""ImportId"":""QID47_1""}","{""ImportId"":""QID47_2""}","{""ImportId"":""QID47_3""}","{""ImportId"":""QID47_4""}","{""ImportId"":""QID47_5""}","{""ImportId"":""QID47_6""}","{""ImportId"":""QID49_TEXT""}","{""ImportId"":""QID50""}","{""ImportId"":""QID1211658717#1_1_1""}","{""ImportId"":""QID1211658717#1_2_1""}","{""ImportId"":""QID1211658717#1_3_1""}","{""ImportId"":""QID1211658717#1_4_1""}","{""ImportId"":""QID1211658717#1_5_1""}","{""ImportId"":""QID1211658717#2_1_1""}","{""ImportId"":""QID1211658717#2_2_1""}","{""ImportId"":""QID1211658717#2_3_1""}","{""ImportId"":""QID1211658717#2_4_1""}","{""ImportId"":""QID1211658717#2_5_1""}"
2023-03-06 13:07:43,2023-03-06 14:50:40,0,100,6176,1,2023-03-06 14:50:40,R_2fs6v0GHkQr3LCU,anonymous,EN,2,1,1,3,6,2,4,4,3,6,1,1,Jag hann inte fundera ut en tydlig strategi men tänkte snabbt att jag måste hålla mig så nära sanningen som möjligt så att min historia överensstämde med andra uppgifter dom hade men utelämna brotten. Annan strategi var att vara otydlig och inte minnas så bra,1,"När jag fick reda på att de hade filmat material så lade jag märke till det, kanske att jag bestämde mig för att säga mer att jag inte mindes vad jag gjort. Annars gick det i linje med tidigare strategi, att vara så nära sanningen så möjligt",2,4,1,1,4,2,3,3,1,3,4,1,35,1,2,1,0,0,0,0,0,0,0,0
2023-03-06 14:50:43,2023-03-06 15:49:14,0,100,3510,1,2023-03-06 15:49:15,R_1exd94kN2bKt6VV,anonymous,EN,4,1,1,2,6,2,3,4,4,6,4,1,Jag ska inte förneka tex att jag gjorde vissa saker som att jag var på den platsen som hon frågade efter. Jag ska säga ja till att jag gjorde det mesta men förneka till det som är kopplat till brottet.,2,,5,3,2,2,3,2,4,1,1,3,4,2,27,2,0,2,1,0,0,0,0,0,0,0
2023-03-13 15:06:55,2023-03-13 15:53:28,0,100,2793,1,2023-03-13 15:53:28,R_7Vrol4TANxSOGJ3,anonymous,EN,4,2,1,3,6,3,4,5,3,5,2,1,"Inte svara mer än nödvändigt. Inte ge massa detaljer om hon inte frågar. En strategi jag tänkte mig var att jag inte måste komma ihåg allt och svara på exakt samma vis utan försökte glömma detaöljer så som man gör i vardagslivet. En annan sak jag tänkte på var att jag skulle hålla blicken stadig men det misslyckades jag med ",2,,5,4,2,1,2,2,3,2,1,2,3,1,,,0,1,0,0,0,0,0,0,0,0
2023-03-15 08:56:32,2023-03-15 09:28:56,0,100,1944,1,2023-03-15 09:28:56,R_1Kk95GlO7deHG7x,anonymous,EN,2,2,1,5,6,3,5,3,2,5,2,1,Samma som innan att hålla mig nära sanningen men lämna ute tillfällena jag begick brott. Så att jag inte behövde ljuga om allt.,2,"Den här gången var jag beredd på att det kunde komma fram att de hade mer information än jag trodde, som med fingeravtrycken. Men det förändrade inte strategin så mycket.",3,3,4,1,4,4,4,3,1,4,4,1,,,0,2,0,0,0,0,0,0,0,0
2023-03-15 10:52:44,2023-03-15 11:38:38,0,100,2754,1,2023-03-15 11:38:38,R_3hbyzVBYHTwByFT,anonymous,EN,4,3,1,3,5,3,4,5,3,6,5,,"Säga samma sak, verka lugn. ",2,,4,4,2,1,2,2,2,3,1,2,2,4,,,0,0,0,0,0,0,0,0,1,0
2023-03-21 10:42:14,2023-03-21 11:26:56,0,100,2682,1,2023-03-21 11:26:57,R_2rMTW77PgVqGVml,anonymous,EN,2,3,1,5,6,2,5,3,2,5,1,1,Berätta en historia så nära sanningen som möjligt men utelämna de delar där jag begick brott. För att behöva ljuga så lite som möjligt,2,,3,3,4,1,3,3,4,3,1,3,4,1,,,1,0,0,0,0,0,0,0,0,0
2023-03-28 09:00:00,2023-03-28 09:48:23,0,100,2903,1,2023-03-28 09:48:23,R_31cJs23CY8m3Wnz,anonymous,EN,6,1,1,5,6,2,5,4,4,4,5,1,"Försöka låta så naturlig som möjligt, försöka få det att låta som att jag bara var en vanlig student som hade en helt ordinär dag. ",2,,4,4,2,3,2,2,3,5,2,2,4,3,26,1,0,0,0,0,0,0,2,0,0,1
2023-03-31 12:49:40,2023-03-31 13:25:42,0,100,2161,1,2023-03-31 13:25:43,R_31mIi8EyyHlgmRO,anonymous,EN,6,2,1,5,6,1,4,5,4,6,2,1,Jag spelade mycket på förvirring och dåligt minne. Det är trots allt naturligt om jag inte minns i detalj vad jag gjorde här för en vecka sen när jag är här varje dag.,2,,4,4,1,4,1,2,4,5,2,3,4,4,,,0,0,0,0,0,0,2,0,0,0
