"id","interview","confidence","motivation","interview_qual","interviewer_qual","self_assessment","age","gender","StartDate","EndDate","Status","Progress","Duration (in seconds)","Finished","RecordedDate","ResponseId","DistributionChannel","UserLanguage","consent","interview_statements_1","interview_statements_2","interview_statements_3","interview_statements_4","knowledge_before","new_info","strategy","strategy_free","change_strategy","change_strategy_free","interview_adj_1","interview_adj_2","interview_adj_3","interview_adj_4","interview_adj_5","interview_adj_6","interviewer_adj_1","interviewer_adj_2","interviewer_adj_3","interviewer_adj_4","interviewer_adj_5","interviewer_adj_6","lie_scale#1_1_1","lie_scale#1_2_1","lie_scale#1_3_1","lie_scale#1_4_1","lie_scale#1_5_1","lie_scale#2_1_1","lie_scale#2_2_1","lie_scale#2_3_1","lie_scale#2_4_1","lie_scale#2_5_1","style","interviewer","interview_adj_2_R","interview_adj_4_R","interviewer_adj_2_R","interviewer_adj_3_R","interviewer_adj_6_R"
1,0,4,6,3.33333333333333,3.66666666666667,2.25,26,2,2023-03-06 09:52:46,2023-03-06 11:54:06,0,100,7279,1,2023-03-06 11:54:06,"R_qyhk2sIHhkdD06R","anonymous","EN",1,2,4,1,2,5,5,1,"My strategy was to describe a different day at the department. I study here and I come here often to work so I basically describe my typical workday here.",2,NA,4,2,3,3,4,2,4,4,1,2,4,1,0,0,0,"0","0",0,2,0,0,0,"sos","Hanna",4,3,2,5,5
1,2,5,5,2,3.16666666666667,1.5,NA,NA,2023-03-16 14:31:09,2023-03-16 16:05:36,0,100,5666,1,2023-03-16 16:05:37,"R_3m2bEiafnuRJenP","anonymous","EN",1,1,2,1,2,6,1,1,"Yes, the same strategy as in interview 1 and 2.",2,NA,2,4,2,4,2,2,2,4,1,2,3,1,0,0,0,"0","0",0,0,0,0,0,"sos","Hanna",2,2,2,5,5
1,1,4,3,3.66666666666667,3.83333333333333,2.5,NA,NA,2023-03-14 15:47:17,2023-03-14 16:19:07,0,100,1909,1,2023-03-14 16:19:07,"R_2cwj8ZxoOiynbik","anonymous","EN",1,1,4,1,4,5,1,1,"I had the same strategy as last time and I stick to the exact same story as I said last time, included the same details etc.",2,NA,4,2,5,2,3,2,2,1,1,2,4,1,0,0,0,"0","0",0,0,0,0,1,"sos","Hanna",4,4,5,5,5
2,0,3,6,2.66666666666667,3.83333333333333,2.25,35,1,2023-03-06 13:07:43,2023-03-06 14:50:40,0,100,6176,1,2023-03-06 14:50:40,"R_2fs6v0GHkQr3LCU","anonymous","EN",1,2,2,2,3,6,1,1,"Jag hann inte fundera ut en tydlig strategi men tänkte snabbt att jag måste hålla mig så nära sanningen som möjligt så att min historia överensstämde med andra uppgifter dom hade men utelämna brotten. Annan strategi var att vara otydlig och inte minnas så bra",1,"När jag fick reda på att de hade filmat material så lade jag märke till det, kanske att jag bestämde mig för att säga mer att jag inte mindes vad jag gjort. Annars gick det i linje med tidigare strategi, att vara så nära sanningen så möjligt",2,4,1,1,4,2,3,3,1,3,4,1,2,1,0,"0","0",0,0,0,0,0,"sos","Minna",2,5,3,5,5
2,1,5,6,3.83333333333333,4.16666666666667,2.25,NA,NA,2023-03-15 08:56:32,2023-03-15 09:28:56,0,100,1944,1,2023-03-15 09:28:56,"R_1Kk95GlO7deHG7x","anonymous","EN",1,3,1,3,2,5,2,1,"Samma som innan att hålla mig nära sanningen men lämna ute tillfällena jag begick brott. Så att jag inte behövde ljuga om allt.",2,"Den här gången var jag beredd på att det kunde komma fram att de hade mer information än jag trodde, som med fingeravtrycken. Men det förändrade inte strategin så mycket.",3,3,4,1,4,4,4,3,1,4,4,1,0,2,0,"0","0",0,0,0,0,0,"sos","Minna",3,5,3,5,5
2,2,5,6,3.5,4,2,NA,NA,2023-03-21 10:42:14,2023-03-21 11:26:56,0,100,2682,1,2023-03-21 11:26:57,"R_2rMTW77PgVqGVml","anonymous","EN",1,2,1,3,2,5,1,1,"Berätta en historia så nära sanningen som möjligt men utelämna de delar där jag begick brott. För att behöva ljuga så lite som möjligt",2,NA,3,3,4,1,3,3,4,3,1,3,4,1,1,0,0,"0","0",0,0,0,0,0,"sos","Minna",3,5,3,5,5
3,0,2,7,4.16666666666667,3.16666666666667,2,27,1,2023-03-06 14:09:15,2023-03-06 14:50:36,0,100,2480,1,2023-03-06 14:50:36,"R_12GAKOEz1C7VMVm","anonymous","EN",1,1,3,1,3,2,2,1,"say nothing important",2,NA,4,1,4,1,4,3,3,2,2,1,3,2,0,0,0,"0","0",0,2,0,2,0,"direct","Naiara",5,5,4,4,4
3,2,3,6,3,2.33333333333333,1.75,NA,NA,2023-03-15 09:44:46,2023-03-15 10:17:31,0,100,1964,1,2023-03-15 10:17:31,"R_1E0vnpQ0QlejhJ6","anonymous","EN",1,1,2,1,3,5,2,1,"say nothing important",2,NA,4,1,2,4,3,2,3,4,4,1,4,4,0,2,2,"0","0",0,2,0,2,0,"direct","Naiara",5,2,2,2,2
3,1,2,7,3.5,3,2,NA,NA,2023-03-09 12:48:40,2023-03-09 13:18:46,0,100,1806,1,2023-03-09 13:18:47,"R_1IL5h9qyY3SjX9B","anonymous","EN",1,2,2,1,3,5,1,1,"say nothing important",2,NA,4,2,4,2,2,3,3,4,3,1,4,1,0,2,2,"0","0",0,2,0,0,0,"direct","Naiara",4,4,2,3,5
4,1,3,6,3,3.66666666666667,2.25,NA,NA,2023-03-13 15:06:55,2023-03-13 15:53:28,0,100,2793,1,2023-03-13 15:53:28,"R_7Vrol4TANxSOGJ3","anonymous","EN",1,3,2,1,3,5,2,1,"Inte svara mer än nödvändigt. Inte ge massa detaljer om hon inte frågar. En strategi jag tänkte mig var att jag inte måste komma ihåg allt och svara på exakt samma vis utan försökte glömma detaöljer så som man gör i vardagslivet. En annan sak jag tänkte på var att jag skulle hålla blicken stadig men det misslyckades jag med",2,NA,5,4,2,1,2,2,3,2,1,2,3,1,0,1,0,"0","0",0,0,0,0,0,"direct","Sandra",2,5,4,5,5
4,0,2,6,3.16666666666667,4.16666666666667,2.75,27,2,2023-03-06 14:50:43,2023-03-06 15:49:14,0,100,3510,1,2023-03-06 15:49:15,"R_1exd94kN2bKt6VV","anonymous","EN",1,2,3,2,4,6,4,1,"Jag ska inte förneka tex att jag gjorde vissa saker som att jag var på den platsen som hon frågade efter. Jag ska säga ja till att jag gjorde det mesta men förneka till det som är kopplat till brottet.",2,NA,5,3,2,2,3,2,4,1,1,3,4,2,0,2,1,"0","0",0,0,0,0,0,"direct","Sandra",3,4,5,5,4
4,2,3,5,2.83333333333333,2.66666666666667,2.25,NA,NA,2023-03-15 10:52:44,2023-03-15 11:38:38,0,100,2754,1,2023-03-15 11:38:38,"R_3hbyzVBYHTwByFT","anonymous","EN",1,3,2,1,3,6,5,NA,"Säga samma sak, verka lugn.",2,NA,4,4,2,1,2,2,2,3,1,2,2,4,0,0,0,"0","0",0,0,0,1,0,"direct","Sandra",2,5,3,5,2
5,0,6,7,4.66666666666667,4.33333333333333,3.25,23,2,2023-03-06 14:50:46,2023-03-06 16:50:21,0,100,7174,1,2023-03-06 16:50:21,"R_1lB6hu7Az8A74Qd","anonymous","EN",1,4,3,2,4,2,3,1,"strategy was to start with head on acknowledging my presence in one of the areas that i was in but for innocent purposes. I expected a bit tougher interrogation so i had explanation for my presence in all areas but it was relatively to persuade the interrogator that i only visited one of the areas and there were no follow up questions.",1,"as mentioned before, interrogation wasn't as tough as i expected so i decided to release as little information as possible and see how much pressure would be put on me - which was not much",5,1,4,1,4,5,5,1,1,4,3,2,0,0,0,"0","0",0,0,0,0,0,"direct","Karishma",5,5,5,5,4
5,2,4,6,4.16666666666667,4.5,3,NA,NA,2023-03-21 15:52:21,2023-03-21 16:21:05,0,100,1724,1,2023-03-21 16:21:06,"R_AECA06zJqgt72oh","anonymous","EN",1,4,4,1,3,4,6,1,"Talk about the locations I've been to that i talked before about. be aware of the locations that i think i have been seen by other people and not deny being there nor my actions but rather give a logical and innocent explanation to what and why i was doing there",2,NA,4,2,4,2,4,5,4,2,1,5,5,2,0,0,0,"0","0",0,0,0,0,0,"direct","Karishma",4,4,4,5,4
5,1,4,4,4,4.5,3,NA,NA,2023-03-15 15:23:36,2023-03-15 16:25:21,0,100,3704,1,2023-03-15 16:25:22,"R_117Wa4i5Tv7ZJDc","anonymous","EN",1,2,3,3,4,2,7,1,"i knew there were people in the room with the piano. on the day of the experiment i thought they are not part of the study therefore i didn't wanted to disturb them so i approached head on. now thinking back im realizing they might have played the role of witness and therefore there's no point denying that i was there or try to cover it up so i directly said that i took the recorder and why i did so, and claimed that i put it back after the people left the piano room",2,NA,4,2,4,1,4,3,3,1,1,4,5,1,0,0,0,"0","0",0,0,0,0,0,"direct","Karishma",4,5,5,5,5
