"id","mc","style","duration_1","duration_2","duration_3","interviewer","language","deviations/notes","stage","detail","interview","activity","critical","start_slope","end_slope"
1,"MC2","sos",NA,NA,NA,"Hanna","Eng",NA,"int1_st1",2,0,0,0,0,0
1,"MC2","sos",NA,NA,NA,"Hanna","Eng",NA,"int1_st2",1,0,1,0,0,1
1,"MC2","sos",NA,NA,NA,"Hanna","Eng",NA,"int1_st3",0,0,2,0,0,2
1,"MC2","sos",NA,NA,NA,"Hanna","Eng",NA,"int1_st4",2,0,3,1,0,3
1,"MC2","sos",NA,NA,NA,"Hanna","Eng",NA,"int1_st5",0,0,4,1,0,4
1,"MC2","sos",NA,NA,NA,"Hanna","Eng",NA,"int2_st1",2,1,0,0,0,0
1,"MC2","sos",NA,NA,NA,"Hanna","Eng",NA,"int2_st2",1,1,1,0,1,0
1,"MC2","sos",NA,NA,NA,"Hanna","Eng",NA,"int2_st3",0,1,2,0,1,1
1,"MC2","sos",NA,NA,NA,"Hanna","Eng",NA,"int2_st4",2,1,3,1,1,2
1,"MC2","sos",NA,NA,NA,"Hanna","Eng",NA,"int2_st5",0,1,4,1,1,3
1,"MC2","sos",NA,NA,NA,"Hanna","Eng",NA,"int3_st1",2,2,0,0,0,0
1,"MC2","sos",NA,NA,NA,"Hanna","Eng",NA,"int3_st2",1,2,1,0,1,0
1,"MC2","sos",NA,NA,NA,"Hanna","Eng",NA,"int3_st3",0,2,2,0,2,0
1,"MC2","sos",NA,NA,NA,"Hanna","Eng",NA,"int3_st4",2,2,3,1,2,1
1,"MC2","sos",NA,NA,NA,"Hanna","Eng",NA,"int3_st5",0,2,4,1,2,2
2,"MC2","sos",NA,NA,NA,"Minna","Swe","missing audio interview 1","int1_st1",NA,0,0,0,0,0
2,"MC2","sos",NA,NA,NA,"Minna","Swe","missing audio interview 1","int1_st2",NA,0,1,0,0,1
2,"MC2","sos",NA,NA,NA,"Minna","Swe","missing audio interview 1","int1_st3",NA,0,2,0,0,2
2,"MC2","sos",NA,NA,NA,"Minna","Swe","missing audio interview 1","int1_st4",NA,0,3,1,0,3
2,"MC2","sos",NA,NA,NA,"Minna","Swe","missing audio interview 1","int1_st5",NA,0,4,1,0,4
2,"MC2","sos",NA,NA,NA,"Minna","Swe","missing audio interview 1","int2_st1",2,1,0,0,0,0
2,"MC2","sos",NA,NA,NA,"Minna","Swe","missing audio interview 1","int2_st2",1,1,1,0,1,0
2,"MC2","sos",NA,NA,NA,"Minna","Swe","missing audio interview 1","int2_st3",0,1,2,0,1,1
2,"MC2","sos",NA,NA,NA,"Minna","Swe","missing audio interview 1","int2_st4",2,1,3,1,1,2
2,"MC2","sos",NA,NA,NA,"Minna","Swe","missing audio interview 1","int2_st5",0,1,4,1,1,3
2,"MC2","sos",NA,NA,NA,"Minna","Swe","missing audio interview 1","int3_st1",2,2,0,0,0,0
2,"MC2","sos",NA,NA,NA,"Minna","Swe","missing audio interview 1","int3_st2",1,2,1,0,1,0
2,"MC2","sos",NA,NA,NA,"Minna","Swe","missing audio interview 1","int3_st3",0,2,2,0,2,0
2,"MC2","sos",NA,NA,NA,"Minna","Swe","missing audio interview 1","int3_st4",2,2,3,1,2,1
2,"MC2","sos",NA,NA,NA,"Minna","Swe","missing audio interview 1","int3_st5",0,2,4,1,2,2
3,"MC1","direct",NA,NA,NA,"Naiara","Eng","missing audio interview 2","int1_st1",NA,0,0,0,0,0
3,"MC1","direct",NA,NA,NA,"Naiara","Eng","missing audio interview 2","int1_st2",NA,0,1,0,0,1
3,"MC1","direct",NA,NA,NA,"Naiara","Eng","missing audio interview 2","int1_st3",NA,0,2,0,0,2
3,"MC1","direct",NA,NA,NA,"Naiara","Eng","missing audio interview 2","int1_st4",NA,0,3,1,0,3
3,"MC1","direct",NA,NA,NA,"Naiara","Eng","missing audio interview 2","int1_st5",NA,0,4,1,0,4
3,"MC1","direct",NA,NA,NA,"Naiara","Eng","missing audio interview 2","int2_st1",3,1,0,0,0,0
3,"MC1","direct",NA,NA,NA,"Naiara","Eng","missing audio interview 2","int2_st2",0,1,1,0,1,0
3,"MC1","direct",NA,NA,NA,"Naiara","Eng","missing audio interview 2","int2_st3",1,1,2,0,1,1
3,"MC1","direct",NA,NA,NA,"Naiara","Eng","missing audio interview 2","int2_st4",1,1,3,1,1,2
3,"MC1","direct",NA,NA,NA,"Naiara","Eng","missing audio interview 2","int2_st5",0,1,4,1,1,3
3,"MC1","direct",NA,NA,NA,"Naiara","Eng","missing audio interview 2","int3_st1",3,2,0,0,0,0
3,"MC1","direct",NA,NA,NA,"Naiara","Eng","missing audio interview 2","int3_st2",0,2,1,0,1,0
3,"MC1","direct",NA,NA,NA,"Naiara","Eng","missing audio interview 2","int3_st3",1,2,2,0,2,0
3,"MC1","direct",NA,NA,NA,"Naiara","Eng","missing audio interview 2","int3_st4",1,2,3,1,2,1
3,"MC1","direct",NA,NA,NA,"Naiara","Eng","missing audio interview 2","int3_st5",0,2,4,1,2,2
4,"MC2","direct",NA,NA,NA,"Sandra","Swe","missing audio interview 3","int1_st1",NA,0,0,0,0,0
4,"MC2","direct",NA,NA,NA,"Sandra","Swe","missing audio interview 3","int1_st2",NA,0,1,0,0,1
4,"MC2","direct",NA,NA,NA,"Sandra","Swe","missing audio interview 3","int1_st3",NA,0,2,0,0,2
4,"MC2","direct",NA,NA,NA,"Sandra","Swe","missing audio interview 3","int1_st4",NA,0,3,1,0,3
4,"MC2","direct",NA,NA,NA,"Sandra","Swe","missing audio interview 3","int1_st5",NA,0,4,1,0,4
4,"MC2","direct",NA,NA,NA,"Sandra","Swe","missing audio interview 3","int2_st1",2,1,0,0,0,0
4,"MC2","direct",NA,NA,NA,"Sandra","Swe","missing audio interview 3","int2_st2",1,1,1,0,1,0
4,"MC2","direct",NA,NA,NA,"Sandra","Swe","missing audio interview 3","int2_st3",0,1,2,0,1,1
4,"MC2","direct",NA,NA,NA,"Sandra","Swe","missing audio interview 3","int2_st4",0,1,3,1,1,2
4,"MC2","direct",NA,NA,NA,"Sandra","Swe","missing audio interview 3","int2_st5",0,1,4,1,1,3
4,"MC2","direct",NA,NA,NA,"Sandra","Swe","missing audio interview 3","int3_st1",2,2,0,0,0,0
4,"MC2","direct",NA,NA,NA,"Sandra","Swe","missing audio interview 3","int3_st2",1,2,1,0,1,0
4,"MC2","direct",NA,NA,NA,"Sandra","Swe","missing audio interview 3","int3_st3",0,2,2,0,2,0
4,"MC2","direct",NA,NA,NA,"Sandra","Swe","missing audio interview 3","int3_st4",0,2,3,1,2,1
4,"MC2","direct",NA,NA,NA,"Sandra","Swe","missing audio interview 3","int3_st5",0,2,4,1,2,2
5,"MC3","direct",NA,NA,NA,"Karishma","Eng","missing audio interview 4","int1_st1",NA,0,0,0,0,0
5,"MC3","direct",NA,NA,NA,"Karishma","Eng","missing audio interview 4","int1_st2",NA,0,1,0,0,1
5,"MC3","direct",NA,NA,NA,"Karishma","Eng","missing audio interview 4","int1_st3",NA,0,2,0,0,2
5,"MC3","direct",NA,NA,NA,"Karishma","Eng","missing audio interview 4","int1_st4",NA,0,3,1,0,3
5,"MC3","direct",NA,NA,NA,"Karishma","Eng","missing audio interview 4","int1_st5",NA,0,4,1,0,4
5,"MC3","direct",NA,NA,NA,"Karishma","Eng","missing audio interview 4","int2_st1",0,1,0,0,0,0
5,"MC3","direct",NA,NA,NA,"Karishma","Eng","missing audio interview 4","int2_st2",5,1,1,0,1,0
5,"MC3","direct",NA,NA,NA,"Karishma","Eng","missing audio interview 4","int2_st3",0,1,2,0,1,1
5,"MC3","direct",NA,NA,NA,"Karishma","Eng","missing audio interview 4","int2_st4",0,1,3,1,1,2
5,"MC3","direct",NA,NA,NA,"Karishma","Eng","missing audio interview 4","int2_st5",0,1,4,1,1,3
5,"MC3","direct",NA,NA,NA,"Karishma","Eng","missing audio interview 4","int3_st1",0,2,0,0,0,0
5,"MC3","direct",NA,NA,NA,"Karishma","Eng","missing audio interview 4","int3_st2",5,2,1,0,1,0
5,"MC3","direct",NA,NA,NA,"Karishma","Eng","missing audio interview 4","int3_st3",2,2,2,0,2,0
5,"MC3","direct",NA,NA,NA,"Karishma","Eng","missing audio interview 4","int3_st4",0,2,3,1,2,1
5,"MC3","direct",NA,NA,NA,"Karishma","Eng","missing audio interview 4","int3_st5",0,2,4,1,2,2
6,"MC2","sos",NA,NA,NA,"Minna","Swe",NA,"int1_st1",2,0,0,0,0,0
6,"MC2","sos",NA,NA,NA,"Minna","Swe",NA,"int1_st2",1,0,1,0,0,1
6,"MC2","sos",NA,NA,NA,"Minna","Swe",NA,"int1_st3",1,0,2,0,0,2
6,"MC2","sos",NA,NA,NA,"Minna","Swe",NA,"int1_st4",3,0,3,1,0,3
6,"MC2","sos",NA,NA,NA,"Minna","Swe",NA,"int1_st5",1,0,4,1,0,4
6,"MC2","sos",NA,NA,NA,"Minna","Swe",NA,"int2_st1",2,1,0,0,0,0
6,"MC2","sos",NA,NA,NA,"Minna","Swe",NA,"int2_st2",2,1,1,0,1,0
6,"MC2","sos",NA,NA,NA,"Minna","Swe",NA,"int2_st3",1,1,2,0,1,1
6,"MC2","sos",NA,NA,NA,"Minna","Swe",NA,"int2_st4",2,1,3,1,1,2
6,"MC2","sos",NA,NA,NA,"Minna","Swe",NA,"int2_st5",0,1,4,1,1,3
6,"MC2","sos",NA,NA,NA,"Minna","Swe",NA,"int3_st1",2,2,0,0,0,0
6,"MC2","sos",NA,NA,NA,"Minna","Swe",NA,"int3_st2",2,2,1,0,1,0
6,"MC2","sos",NA,NA,NA,"Minna","Swe",NA,"int3_st3",2,2,2,0,2,0
6,"MC2","sos",NA,NA,NA,"Minna","Swe",NA,"int3_st4",3,2,3,1,2,1
6,"MC2","sos",NA,NA,NA,"Minna","Swe",NA,"int3_st5",1,2,4,1,2,2
7,"MC1","sos",NA,NA,NA,"Hanna","Eng",NA,"int1_st1",0,0,0,0,0,0
7,"MC1","sos",NA,NA,NA,"Hanna","Eng",NA,"int1_st2",0,0,1,0,0,1
7,"MC1","sos",NA,NA,NA,"Hanna","Eng",NA,"int1_st3",1,0,2,0,0,2
7,"MC1","sos",NA,NA,NA,"Hanna","Eng",NA,"int1_st4",0,0,3,1,0,3
7,"MC1","sos",NA,NA,NA,"Hanna","Eng",NA,"int1_st5",0,0,4,1,0,4
7,"MC1","sos",NA,NA,NA,"Hanna","Eng",NA,"int2_st1",0,1,0,0,0,0
7,"MC1","sos",NA,NA,NA,"Hanna","Eng",NA,"int2_st2",0,1,1,0,1,0
7,"MC1","sos",NA,NA,NA,"Hanna","Eng",NA,"int2_st3",1,1,2,0,1,1
7,"MC1","sos",NA,NA,NA,"Hanna","Eng",NA,"int2_st4",0,1,3,1,1,2
7,"MC1","sos",NA,NA,NA,"Hanna","Eng",NA,"int2_st5",0,1,4,1,1,3
7,"MC1","sos",NA,NA,NA,"Hanna","Eng",NA,"int3_st1",0,2,0,0,0,0
7,"MC1","sos",NA,NA,NA,"Hanna","Eng",NA,"int3_st2",0,2,1,0,1,0
7,"MC1","sos",NA,NA,NA,"Hanna","Eng",NA,"int3_st3",1,2,2,0,2,0
7,"MC1","sos",NA,NA,NA,"Hanna","Eng",NA,"int3_st4",0,2,3,1,2,1
7,"MC1","sos",NA,NA,NA,"Hanna","Eng",NA,"int3_st5",0,2,4,1,2,2
8,"MC3","sos",NA,NA,NA,"Karishma","Eng",NA,"int1_st1",1,0,0,0,0,0
8,"MC3","sos",NA,NA,NA,"Karishma","Eng",NA,"int1_st2",1,0,1,0,0,1
8,"MC3","sos",NA,NA,NA,"Karishma","Eng",NA,"int1_st3",2,0,2,0,0,2
